clade_name,DRR111028,DRR111037,DRR111061,DRR111030,DRR111013,DRR111004,DRR111036,DRR111060,DRR111042,DRR111024,DRR111006,DRR111012
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,0.001596,0.001524,0.000839,0.001616,0.000841,0.001575,0.001615,0.000830,0.001599,0.000838,0.001559,0.000833
k__Bacteria|p__Firmicutes|c__Bacilli,0.046806,0.040895,0.015808,0.047366,0.015831,0.044567,0.047354,0.015649,0.047096,0.015797,0.041407,0.015713
k__Bacteria|p__Bacteroidota|c__Bacteroidia,0.296879,0.321136,0.502229,0.294504,0.501485,0.303945,0.294558,0.504722,0.296059,0.502271,0.320675,0.503580
k__Bacteria|p__Spirochaetota|c__Brachyspirae,0.000085,0.000091,0.000081,0.000085,0.000081,0.000087,0.000085,0.000081,0.000085,0.000081,0.000094,0.000081
k__Bacteria|p__Campilobacterota|c__Campylobacteria,0.000097,0.000102,0.000088,0.000097,0.000088,0.000099,0.000097,0.000088,0.000097,0.000088,0.000104,0.000088
k__Bacteria|p__Firmicutes|c__Clostridia,0.506871,0.465394,0.278542,0.514523,0.278768,0.489117,0.514340,0.277459,0.509668,0.278498,0.465848,0.277961
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia,0.009374,0.008835,0.005331,0.009461,0.005341,0.009153,0.009458,0.005274,0.009405,0.005327,0.008959,0.005299
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia,0.000070,0.000077,0.000067,0.000070,0.000067,0.000073,0.000070,0.000067,0.000070,0.000067,0.000079,0.000067
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia,0.002617,0.002833,0.003294,0.002599,0.003296,0.002714,0.002599,0.003274,0.002606,0.003293,0.002866,0.003281
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia,0.014322,0.017698,0.035525,0.013958,0.035546,0.015778,0.013966,0.035126,0.014140,0.035473,0.017754,0.035305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.037686,0.039401,0.041065,0.037476,0.041115,0.038079,0.037481,0.041001,0.037654,0.041076,0.039322,0.041044
k__Bacteria|p__Firmicutes|c__Incertae_Sedis,0.000186,0.000192,0.000149,0.000186,0.000149,0.000188,0.000186,0.000149,0.000186,0.000149,0.000196,0.000149
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria,0.000082,0.000089,0.000079,0.000082,0.000079,0.000085,0.000082,0.000079,0.000082,0.000079,0.000091,0.000079
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.000079,0.000084,0.000066,0.000078,0.000066,0.000081,0.000078,0.000066,0.000078,0.000066,0.000086,0.000066
k__Bacteria|p__Firmicutes|c__Negativicutes,0.035312,0.040095,0.076372,0.034662,0.076349,0.037141,0.034678,0.076822,0.035079,0.076438,0.039967,0.076599
k__Bacteria|p__Patescibacteria|c__Saccharimonadia,0.000190,0.000206,0.000196,0.000189,0.000197,0.000199,0.000189,0.000197,0.000189,0.000197,0.000211,0.000197
k__Bacteria|p__Synergistota|c__Synergistia,0.000541,0.000529,0.000336,0.000545,0.000337,0.000536,0.000545,0.000332,0.000542,0.000336,0.000539,0.000334
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia,0.000121,0.000131,0.000123,0.000121,0.000123,0.000126,0.000121,0.000123,0.000121,0.000123,0.000135,0.000123
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae,0.003642,0.004074,0.005714,0.003596,0.005718,0.003818,0.003597,0.005688,0.003620,0.005713,0.004116,0.005700
k__Bacteria|p__Firmicutes|c__uncultured,0.000076,0.000084,0.000076,0.000076,0.000077,0.000080,0.000076,0.000076,0.000076,0.000076,0.000086,0.000076
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales,0.013566,0.015210,0.023713,0.013362,0.023731,0.014147,0.013367,0.023530,0.013491,0.023703,0.015192,0.023605
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales,0.000125,0.000134,0.000113,0.000125,0.000114,0.000129,0.000125,0.000113,0.000125,0.000113,0.000137,0.000113
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,0.007233,0.007940,0.007048,0.007138,0.007055,0.007539,0.007140,0.007034,0.007192,0.007049,0.008027,0.007038
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,0.000079,0.000082,0.000074,0.000078,0.000074,0.000080,0.000078,0.000074,0.000078,0.000074,0.000084,0.000074
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,0.295311,0.317450,0.505884,0.291226,0.506276,0.306341,0.291324,0.504685,0.293658,0.505731,0.318703,0.505237
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales,0.060473,0.047686,0.009893,0.062291,0.009912,0.055259,0.062246,0.009804,0.061176,0.009888,0.048518,0.009849
k__Bacteria|p__Spirochaetota|c__Brachyspirae|o__Brachyspirales,0.000084,0.000094,0.000083,0.000084,0.000083,0.000089,0.000084,0.000083,0.000084,0.000083,0.000097,0.000083
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales,0.007696,0.008609,0.012778,0.007657,0.012796,0.008123,0.007657,0.012678,0.007647,0.012769,0.008734,0.012723
