clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0.041726	0.048184	0.049153	0.037786	0.045001	0.042145	0.041343	0.043636	0.042360	0.039478	0.050175	0.045362	0.044420	0.046928	0.047327	0.044807
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.121397	0.156238	0.171967	0.144715	0.138449	0.141679	0.148596	0.148074	0.150390	0.133706	0.130144	0.239369	0.137097	0.200519	0.154213	0.133655
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.125462	0.162387	0.171148	0.149794	0.140879	0.147841	0.158796	0.149775	0.151288	0.138069	0.140306	0.242426	0.140471	0.211804	0.157714	0.148302
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia	0.037375	0.038520	0.038050	0.030324	0.039620	0.033695	0.030418	0.035925	0.034038	0.033806	0.047199	0.033908	0.038731	0.032929	0.041439	0.039638
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	0.038089	0.038210	0.039208	0.030253	0.039489	0.033694	0.032919	0.035440	0.034736	0.034392	0.047818	0.039049	0.040863	0.038120	0.040352	0.037362
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0.037420	0.036069	0.034411	0.027415	0.040801	0.030532	0.028856	0.034588	0.033687	0.032604	0.050279	0.032049	0.039831	0.030591	0.039265	0.037151
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0.034163	0.032691	0.034168	0.028068	0.036203	0.031456	0.029341	0.029563	0.028394	0.031458	0.040712	0.029776	0.035933	0.030885	0.037485	0.035935
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.108597	0.155721	0.162719	0.138000	0.126023	0.135567	0.147514	0.141907	0.145607	0.124032	0.121303	0.253301	0.125218	0.212472	0.144127	0.126694
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.071703	0.096123	0.103757	0.077178	0.082271	0.082813	0.086161	0.089167	0.088377	0.076280	0.077632	0.121621	0.081007	0.111851	0.093599	0.080754
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.025969	0.026891	0.027175	0.021345	0.028416	0.023679	0.023326	0.024898	0.023260	0.023203	0.034981	0.025559	0.027891	0.026020	0.029151	0.029337
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.042315	0.045298	0.046846	0.038051	0.043514	0.041803	0.039074	0.042036	0.040683	0.040251	0.048868	0.039490	0.043983	0.041795	0.046751	0.043487
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0.026786	0.029553	0.031655	0.024801	0.028907	0.027204	0.026305	0.026937	0.026071	0.025148	0.032549	0.030131	0.029090	0.030502	0.030396	0.028580
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.048763	0.044939	0.051076	0.045151	0.051556	0.048712	0.044183	0.041543	0.040269	0.047722	0.051177	0.041379	0.051696	0.045122	0.053812	0.051902
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.030051	0.029435	0.030379	0.025175	0.032122	0.027759	0.026788	0.027334	0.026096	0.027780	0.035436	0.026280	0.031495	0.027472	0.032628	0.031529
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_kashiwanohense	0.036923	0.040636	0.044544	0.035595	0.039939	0.037985	0.037981	0.037429	0.036687	0.037138	0.042524	0.045983	0.040687	0.044999	0.043774	0.040442
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.076132	0.080472	0.088800	0.075550	0.086200	0.080594	0.080885	0.076398	0.074894	0.076041	0.086872	0.091573	0.081082	0.088288	0.089533	0.085779
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.063865	0.074882	0.079986	0.064678	0.071956	0.070031	0.068173	0.069887	0.068438	0.062750	0.070749	0.075328	0.068749	0.077758	0.076506	0.070403
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.044012	0.048650	0.048060	0.037228	0.048266	0.042369	0.039147	0.045668	0.044416	0.040320	0.053170	0.042406	0.046111	0.042512	0.048680	0.043978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0.049973	0.045487	0.050864	0.042581	0.051588	0.046806	0.043727	0.042033	0.040868	0.047667	0.053608	0.042909	0.052736	0.044552	0.052265	0.049632
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0.044650	0.053313	0.058307	0.043775	0.048202	0.050111	0.047762	0.048868	0.047110	0.045116	0.048494	0.049128	0.049202	0.051815	0.053044	0.047300
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0.044022	0.041605	0.045997	0.039374	0.046318	0.041905	0.040161	0.037929	0.036976	0.041940	0.050200	0.037921	0.046486	0.040826	0.048384	0.046853
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0.036767	0.038611	0.040704	0.032037	0.038842	0.035552	0.034096	0.036225	0.034452	0.034397	0.042459	0.034896	0.038569	0.036203	0.040072	0.039743
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0.037519	0.036118	0.038202	0.031205	0.037868	0.034550	0.033070	0.033674	0.032344	0.034789	0.042655	0.032125	0.040036	0.035312	0.038358	0.037635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0.027656	0.029256	0.029167	0.023649	0.030126	0.026221	0.025245	0.026576	0.025071	0.025772	0.033531	0.024388	0.029488	0.026273	0.030460	0.030980
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.030692	0.027780	0.029885	0.023901	0.031207	0.027002	0.025648	0.025753	0.024732	0.028320	0.034908	0.026398	0.032646	0.026826	0.032977	0.030827
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0.028553	0.028887	0.030490	0.024586	0.030489	0.027696	0.026607	0.026978	0.024993	0.026136	0.034182	0.022410	0.030985	0.027715	0.030381	0.030250
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.028600	0.032861	0.033850	0.024941	0.029582	0.028209	0.026453	0.029968	0.028852	0.026351	0.033889	0.027971	0.030870	0.030942	0.031458	0.028315
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense	0.024177	0.022475	0.025533	0.019444	0.024748	0.022054	0.021333	0.021024	0.020036	0.022475	0.027770	0.022635	0.025906	0.022500	0.026115	0.023992
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	0.033192	0.030421	0.035032	0.027787	0.034518	0.031053	0.028721	0.027542	0.026700	0.032377	0.034060	0.029514	0.037229	0.030777	0.036010	0.032333
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.027789	0.028270	0.029379	0.021849	0.029682	0.025394	0.024063	0.026586	0.025144	0.024560	0.035330	0.024595	0.029454	0.025786	0.030292	0.028714
