clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	0.009939	0.009939	0.009944	0.00994	0.00994	0.010004	0.00994	0.009939	0.009939	0.010064	0.009939	0.00994	0.009939	0.00994	0.00994	0.009941
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0.00014	0.00014	0.00014	0.00014	0.00014	0.000141	0.00014	0.00014	0.00014	0.000143	0.00014	0.00014	0.00014	0.00014	0.00014	0.00014
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	8.4e-05	8.4e-05	8.5e-05	8.5e-05	8.4e-05	8.6e-05	8.5e-05	8.4e-05	8.4e-05	8.7e-05	8.4e-05	8.5e-05	8.4e-05	8.5e-05	8.4e-05	8.5e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.02168	0.020979	0.089564	0.089559	0.026276	0.086802	0.089559	0.020961	0.02108	0.089793	0.021005	0.089559	0.021642	0.089559	0.02728	0.039933
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.022064	0.021438	0.089192	0.089176	0.025674	0.08638	0.089176	0.021422	0.021526	0.089539	0.021463	0.089176	0.022023	0.089176	0.026832	0.038649
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia	8.4e-05	8.4e-05	8.5e-05	8.5e-05	8.4e-05	8.6e-05	8.5e-05	8.4e-05	8.4e-05	8.8e-05	8.4e-05	8.5e-05	8.4e-05	8.5e-05	8.4e-05	8.5e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	8.5e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05	8.6e-05	8.5e-05	8.5e-05	8.5e-05	8.7e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05	8.5e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.3e-05	9.2e-05	9.2e-05	9.2e-05	9.5e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.3e-05	9.2e-05	9.2e-05	9.2e-05	9.5e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05	9.2e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.022293	0.021568	0.088913	0.088901	0.026312	0.086373	0.0889	0.021548	0.02167	0.08917	0.021597	0.0889	0.022242	0.0889	0.02749	0.038598
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.008587	0.008289	0.042054	0.042047	0.010447	0.0407	0.042047	0.008281	0.008332	0.042277	0.0083	0.042047	0.008569	0.042047	0.01087	0.016113
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.000113	0.000113	0.000119	0.000119	0.000113	0.00012	0.000119	0.000113	0.000113	0.000122	0.000113	0.000119	0.000113	0.000119	0.000113	0.000114
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.001526	0.001494	0.0051	0.005098	0.001707	0.004963	0.005098	0.001494	0.001499	0.005167	0.001496	0.005098	0.001524	0.005098	0.001755	0.002285
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0.000539	0.000516	0.003498	0.003497	0.000684	0.003371	0.003497	0.000515	0.000519	0.00354	0.000517	0.003497	0.000538	0.003497	0.000722	0.001166
