clade_name	DRR111028	DRR111037	DRR111061	DRR111030	DRR111013	DRR111004	DRR111036	DRR111060	DRR111042	DRR111024	DRR111006	DRR111012
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales	0.025836	0.035236	0.025941	0.032095	0.027209	0.029973	0.026568	0.030109	0.028685	0.027719	0.026930	0.025238
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Oligosphaerales	0.020980	0.029597	0.021008	0.025828	0.022752	0.024653	0.020595	0.026778	0.025237	0.023958	0.022489	0.021737
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales	0.068972	0.078294	0.066128	0.074452	0.067498	0.069014	0.070312	0.068759	0.069538	0.073398	0.065973	0.066691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales	0.470540	0.489854	0.459564	0.510343	0.449840	0.461030	0.491535	0.416828	0.460848	0.421140	0.442053	0.431719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.021048	0.026257	0.018811	0.024500	0.020828	0.021948	0.020973	0.021283	0.021607	0.019929	0.019253	0.018238
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptococcales	0.023353	0.030358	0.022441	0.027362	0.023920	0.026001	0.022756	0.024464	0.026047	0.025282	0.022244	0.022315
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales	0.021660	0.032140	0.021977	0.025172	0.024666	0.026909	0.020558	0.023778	0.026850	0.022687	0.022435	0.021749
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales	0.016869	0.024240	0.017115	0.020678	0.017986	0.019893	0.016390	0.017965	0.020066	0.018562	0.017394	0.016610
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.032688	0.037042	0.029229	0.036776	0.032030	0.032000	0.032936	0.032121	0.032322	0.031516	0.028933	0.029958
k__Bacteria|p__Firmicutes|c__Bacilli|o__RF39	0.021035	0.030032	0.022563	0.025406	0.023391	0.025110	0.021463	0.027495	0.024347	0.025345	0.023483	0.022611
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.013165	0.018003	0.012673	0.017069	0.013439	0.014968	0.013760	0.016666	0.014526	0.014264	0.013834	0.012543
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.017318	0.021582	0.015498	0.019845	0.017277	0.018003	0.017709	0.017880	0.018128	0.018444	0.015978	0.016023
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	0.022593	0.029973	0.021015	0.027628	0.022528	0.025618	0.022954	0.024534	0.024051	0.023478	0.022348	0.019558
k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales	0.020785	0.028425	0.020402	0.025582	0.021348	0.023812	0.022017	0.024012	0.022567	0.023416	0.021126	0.019255
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales	0.030276	0.037317	0.028690	0.034548	0.030482	0.032864	0.031571	0.030405	0.031958	0.030937	0.029461	0.028009
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.017321	0.025647	0.017274	0.020475	0.019195	0.021187	0.017367	0.021702	0.019514	0.019711	0.018868	0.016894
k__Bacteria|p__Firmicutes|c__Bacilli|o__Staphylococcales	0.021726	0.027164	0.019755	0.025623	0.021800	0.023900	0.022077	0.023253	0.022708	0.022563	0.020549	0.019591
k__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales	0.015810	0.023663	0.016280	0.020726	0.016952	0.020106	0.015989	0.021046	0.019487	0.020853	0.018047	0.016129
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales	0.075564	0.092227	0.076023	0.084552	0.080800	0.083210	0.071578	0.096609	0.084137	0.086535	0.081071	0.082752
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales	0.024157	0.031876	0.023179	0.027872	0.025251	0.027717	0.023168	0.025918	0.027610	0.028083	0.023307	0.022817
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Victivallales	0.020974	0.025749	0.018875	0.025700	0.020024	0.022127	0.021519	0.020660	0.022331	0.022256	0.019078	0.018261
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.031032	0.039412	0.028944	0.039940	0.031864	0.033223	0.033329	0.036441	0.034577	0.030873	0.031749	0.030890
k__Bacteria|p__Firmicutes|c__uncultured|o__uncultured	0.013023	0.019705	0.013049	0.016302	0.014254	0.015921	0.012733	0.018296	0.015400	0.015211	0.014396	0.013230
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.039932	0.053878	0.039001	0.045733	0.043432	0.047050	0.039355	0.051231	0.045437	0.044005	0.042433	0.039893
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.010565	0.017632	0.010827	0.013213	0.011973	0.014015	0.010658	0.015329	0.012621	0.012817	0.012084	0.010560
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0.019686	0.021937	0.016978	0.022249	0.018312	0.019328	0.019114	0.017327	0.020024	0.019387	0.016149	0.016705
