clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.002441	0.002944	0.002209	0.013771	0.000975	0.007335	0.004784	0.003359	0.007590	0.006660	0.001538	0.002798	0.004784	0.000975	0.002172	0.006242	0.002068	0.006632	0.001365	0.006508	0.002742	0.001723	0.005034	0.001803	0.002944	0.001279	0.001904
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Anaerovoracaceae	0.001755	0.002305	0.000767	0.007556	0.000599	0.003075	0.005596	0.003988	0.008512	0.009358	0.000954	0.002928	0.005596	0.000599	0.001523	0.002914	0.002394	0.010222	0.001074	0.010881	0.000951	0.001141	0.006410	0.001016	0.002305	0.000774	0.000868
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.135574	0.197313	0.060736	0.101192	0.122175	0.068539	0.117140	0.262259	0.173872	0.268335	0.182219	0.124591	0.117140	0.122175	0.116022	0.206739	0.409255	0.310275	0.237227	0.098198	0.083360	0.220831	0.235917	0.147957	0.197313	0.068053	0.153357
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.400857	0.474340	0.203565	0.166579	0.531453	0.271324	0.268393	0.397639	0.433329	0.294265	0.491969	0.366978	0.268393	0.531453	0.461880	0.367676	0.342957	0.331250	0.429739	0.288104	0.461782	0.491591	0.372764	0.602862	0.474340	0.575862	0.354650
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae	0.003947	0.005993	0.001310	0.004772	0.001727	0.005242	0.005254	0.006481	0.013518	0.010309	0.002804	0.004701	0.005254	0.001727	0.004033	0.006863	0.003531	0.010021	0.002005	0.008861	0.002856	0.002740	0.007919	0.003015	0.005993	0.002085	0.002412
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.001480	0.002727	0.000567	0.004403	0.000967	0.003126	0.003263	0.003569	0.007636	0.005731	0.001085	0.004153	0.003263	0.000967	0.002897	0.002207	0.001265	0.005713	0.000596	0.004206	0.001355	0.000852	0.005106	0.001466	0.002727	0.002105	0.000644
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.005399	0.004913	0.007262	0.043776	0.001808	0.026910	0.005777	0.004303	0.009984	0.007004	0.002044	0.003487	0.005777	0.001808	0.003827	0.012463	0.002242	0.005503	0.002421	0.013075	0.006237	0.003209	0.004789	0.002825	0.004913	0.003549	0.003688
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.006733	0.019344	0.003597	0.009940	0.004360	0.007044	0.021546	0.024450	0.030192	0.040460	0.006008	0.023302	0.021546	0.004360	0.011695	0.007986	0.011304	0.049366	0.003589	0.036330	0.004228	0.004182	0.037896	0.005492	0.019344	0.006721	0.004984
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae	0.002026	0.005584	0.000435	0.004209	0.001764	0.002761	0.002348	0.004980	0.008720	0.008613	0.001546	0.003104	0.002348	0.001764	0.002371	0.002597	0.002392	0.009244	0.001301	0.004297	0.001295	0.001522	0.005781	0.001827	0.005584	0.002554	0.001273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.079943	0.029606	0.018427	0.662941	0.020354	0.094766	0.010861	0.024908	0.055754	0.017862	0.020036	0.013274	0.010861	0.020354	0.021606	0.066216	0.016677	0.021410	0.029128	0.016237	0.033697	0.029303	0.017293	0.019970	0.029606	0.019559	0.026783
