clade_name	ERR1398151	ERR1398080	ERR1398101	ERR1398181	ERR1398239	ERR1398202	ERR1398231	ERR1398192	ERR1398142	ERR1398086	ERR1398075	ERR1398073	ERR1398193	ERR1398229	ERR1398238	ERR1398249	ERR1398191	ERR1398128	ERR1398112	ERR1398209	ERR1398124	ERR1398241	ERR1398204	ERR1398157	ERR1398131	ERR1398123	ERR1398178	ERR1398234	ERR1398243	ERR1398113	ERR1398090	ERR1398223	ERR1398134	ERR1398105	ERR1398072	ERR1398148	ERR1398246	ERR1398174	ERR1398228	ERR1398094
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.7e-05	1.3e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00148	0.002465	0.002975	0.00034	0.003905	0.000552	0.004029	0.00225	0.001174	0.002942	0.004315	0.001582	0.000428	0.000377	0.00195	0.000397	0.00036	0.002578	0.001748	0.001794	0.002025	0.002079	0.001692	0.003678	0.000413	0.002355	0.003016	0.000442	0.000381	0.002502	0.000406	0.003316	0.001411	0.004288	0.001389	0.001132	0.003773	0.002352	0.004244	0.001583
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00145	0.002482	0.00301	0.00035	0.003875	0.000568	0.003999	0.00222	0.00118	0.002937	0.004137	0.001613	0.000441	0.000388	0.002003	0.000407	0.00037	0.002586	0.001782	0.001711	0.002062	0.002123	0.00172	0.003638	0.000424	0.00237	0.003017	0.000455	0.00039	0.002523	0.000417	0.003334	0.001415	0.004223	0.001383	0.001173	0.003715	0.002378	0.004144	0.001613
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.001537	0.002492	0.003037	0.000333	0.003823	0.00054	0.004012	0.002382	0.001187	0.002942	0.004138	0.001595	0.000424	0.000368	0.001999	0.00039	0.000352	0.002603	0.001768	0.001718	0.002073	0.002106	0.00171	0.003632	0.000404	0.002397	0.002958	0.000437	0.000374	0.002518	0.000398	0.003315	0.001398	0.004177	0.001428	0.001142	0.003721	0.002414	0.004084	0.001601
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.000696	0.002461	0.002746	0.00033	0.003017	0.000485	0.002865	0.001153	0.00084	0.001564	0.003082	0.001836	0.000397	0.000357	0.002122	0.000373	0.000345	0.002519	0.00196	0.001173	0.002193	0.002187	0.00192	0.002884	0.000387	0.002376	0.001567	0.000408	0.000361	0.002438	0.000379	0.002817	0.001043	0.002963	0.000979	0.000878	0.002932	0.002391	0.002804	0.001842
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.000688	0.002417	0.002691	0.000315	0.002986	0.000487	0.002753	0.001146	0.00088	0.001576	0.003109	0.001826	0.000389	0.000345	0.00211	0.000362	0.000333	0.002469	0.001963	0.00117	0.00217	0.002186	0.001914	0.002967	0.000379	0.00237	0.001571	0.000403	0.000351	0.002449	0.000371	0.002906	0.001027	0.003063	0.001005	0.000879	0.00301	0.002373	0.002742	0.001829
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.000345	0.000189	0.000268	4.6e-05	0.000442	8.4e-05	0.000708	0.000576	0.000233	0.000667	0.000553	9.7e-05	6.2e-05	5.2e-05	0.00013	5.5e-05	4.9e-05	0.000205	0.000111	0.000432	0.000141	0.000146	0.000106	0.000382	5.8e-05	0.000174	0.000713	6.4e-05	5.3e-05	0.000196	5.7e-05	0.000316	0.000303	0.000538	0.000285	0.000215	0.000398	0.000174	0.000858	9.7e-05
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified	0.000144	1.8e-05	2.7e-05	1.8e-05	5.2e-05	3.4e-05	0.000107	0.000201	0.000101	0.000172	7.3e-05	1e-05	2.5e-05	2.1e-05	1.1e-05	2.2e-05	2e-05	2e-05	1e-05	0.000157	1.2e-05	1.3e-05	1e-05	4.3e-05	2.3e-05	1.6e-05	0.0002	2.6e-05	2.1e-05	1.9e-05	2.3e-05	3.4e-05	0.000118	6.9e-05	0.000127	9.3e-05	4.5e-05	1.6e-05	0.000156	1e-05
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified|s__Desulfovibrionaceae_bacterium	0.000122	1.6e-05	2.4e-05	1.9e-05	4.7e-05	3.6e-05	0.000103	0.000183	0.000104	0.000157	6.6e-05	1e-05	2.6e-05	2.1e-05	1e-05	2.3e-05	2e-05	1.8e-05	1e-05	0.000169	1.1e-05	1.2e-05	1e-05	3.8e-05	2.4e-05	1.5e-05	0.00018	2.7e-05	2.2e-05	1.7e-05	2.4e-05	3e-05	0.000126	6e-05	0.000129	9.4e-05	4e-05	1.4e-05	0.000151	1e-05
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_fairfieldensis	4.3e-05	1.9e-05	2.6e-05	1e-05	4.2e-05	1.7e-05	7e-05	7.4e-05	4.7e-05	7.4e-05	5.4e-05	1e-05	1.2e-05	1e-05	1.3e-05	1.1e-05	1e-05	2e-05	1.1e-05	7.4e-05	1.4e-05	1.4e-05	1e-05	3.7e-05	1.1e-05	1.7e-05	8.3e-05	1.3e-05	1e-05	1.9e-05	1.1e-05	3.1e-05	5.7e-05	5.1e-05	5.7e-05	4.4e-05	3.8e-05	1.7e-05	9.3e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.000239	0.000184	0.000252	3.6e-05	0.00041	7e-05	0.000586	0.000411	0.000195	0.000503	0.000499	9.4e-05	5e-05	4.2e-05	0.000129	4.5e-05	4e-05	0.0002	0.000109	0.000357	0.000137	0.000142	0.000104	0.000358	4.8e-05	0.000171	0.000548	5.2e-05	4.2e-05	0.00019	4.6e-05	0.000295	0.000256	0.000483	0.000232	0.000185	0.000371	0.000171	0.000711	9.5e-05
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.8e-05	2e-05	2.6e-05	1e-05	3.7e-05	1e-05	4.8e-05	3.3e-05	2.3e-05	3.7e-05	4.3e-05	1.1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	2.2e-05	1.3e-05	3.6e-05	1.6e-05	1.6e-05	1.2e-05	3.3e-05	1e-05	1.9e-05	4.3e-05	1e-05	1e-05	2.1e-05	1e-05	3e-05	3e-05	3.9e-05	2.9e-05	2.4e-05	3.4e-05	1.9e-05	6.1e-05	1.1e-05
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.7e-05	2.2e-05	2.8e-05	1e-05	3.9e-05	1e-05	4.9e-05	3.1e-05	2.5e-05	3.6e-05	4.6e-05	1.2e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	2.4e-05	1.4e-05	3.4e-05	1.8e-05	1.8e-05	1.4e-05	3.6e-05	1e-05	2.1e-05	3.9e-05	1e-05	1e-05	2.3e-05	1e-05	3.3e-05	2.9e-05	4.3e-05	3e-05	2.4e-05	3.7e-05	2.1e-05	5.7e-05	1.2e-05
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.4e-05	1.2e-05	1.6e-05	1e-05	2.4e-05	1e-05	3.5e-05	2.6e-05	1.7e-05	2.9e-05	3.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	2.7e-05	1e-05	1e-05	1e-05	2.2e-05	1e-05	1.1e-05	3.3e-05	1e-05	1e-05	1.2e-05	1e-05	1.9e-05	2.1e-05	2.9e-05	2.1e-05	1.6e-05	2.3e-05	1.1e-05	4.5e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	1.8e-05	2.1e-05	2.8e-05	1e-05	3.8e-05	1e-05	4.8e-05	3.3e-05	2.4e-05	3.8e-05	4.6e-05	1.2e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	2.3e-05	1.4e-05	3.6e-05	1.7e-05	1.7e-05	1.3e-05	3.5e-05	1e-05	2e-05	4.3e-05	1e-05	1e-05	2.2e-05	1e-05	3.2e-05	2.9e-05	4.3e-05	2.9e-05	2.3e-05	3.7e-05	2e-05	6e-05	1.2e-05
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus	1.3e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	2e-05	2.3e-05	1.9e-05	2.1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2.5e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	2.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2.1e-05	1.5e-05	2.2e-05	1.7e-05	1.2e-05	1e-05	2.7e-05	1e-05
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_curvus	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	1.9e-05	1e-05
