clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.006555	0.006414	0.001838	5.5e-05	0.006062	0.001259	0.006435	0.006567	0.006737	0.006595	0.006295	0.006185	0.006542	0.005959	0.006108	0.005163	0.006451	0.006647	0.006193	0.006434	0.006431	0.006483	0.006429	0.006116	0.006629	0.005805	0.004812
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.003013	0.002549	0.008399	0.011775	0.001917	0.009738	0.002541	0.002829	0.002606	0.003222	0.002127	0.002001	0.002582	0.001842	0.001961	0.005317	0.003885	0.002604	0.003505	0.003233	0.002406	0.002648	0.00243	0.002	0.002591	0.001745	0.005478
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Anaerovoracaceae	0.003795	0.003493	0.002767	0.000167	0.003031	0.002029	0.003522	0.003629	0.003593	0.003887	0.003216	0.003189	0.003511	0.003008	0.003162	0.004567	0.004373	0.00362	0.003976	0.004042	0.003407	0.003511	0.003409	0.003136	0.003545	0.002919	0.004401
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.134645	0.097218	0.338506	0.071384	0.059473	0.304981	0.095286	0.115994	0.092804	0.144809	0.070423	0.064099	0.097972	0.056688	0.061614	0.283077	0.192878	0.096695	0.182277	0.152858	0.08875	0.110281	0.08981	0.065312	0.099638	0.052914	0.304077
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.247899	0.303976	0.039624	0.001481	0.405028	0.028497	0.301723	0.270075	0.310534	0.229789	0.37021	0.388716	0.302615	0.413919	0.392871	0.108118	0.182767	0.300364	0.19871	0.227078	0.322966	0.282645	0.323598	0.385736	0.298845	0.428613	0.099704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae	0.002607	0.00252	0.001986	0.000106	0.002278	0.001581	0.002528	0.002573	0.002672	0.002633	0.002408	0.002389	0.002573	0.002249	0.002366	0.002806	0.00281	0.00264	0.002558	0.002672	0.002506	0.002523	0.00251	0.002345	0.002571	0.00219	0.002746
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.001419	0.001369	0.000294	3e-06	0.001229	0.000162	0.001394	0.001407	0.001437	0.00142	0.001285	0.001272	0.001388	0.001195	0.001253	0.001081	0.001445	0.00141	0.001368	0.001425	0.001336	0.00135	0.001364	0.001246	0.001392	0.001144	0.000982
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.004914	0.003822	0.024641	0.026704	0.002561	0.028537	0.003832	0.004464	0.003923	0.005459	0.002995	0.002783	0.003885	0.002475	0.002724	0.012522	0.007344	0.004005	0.006275	0.005711	0.003551	0.004128	0.003554	0.002775	0.003972	0.00231	0.013103
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.019302	0.01799	0.010379	0.000464	0.01581	0.00691	0.018515	0.018816	0.018289	0.019963	0.016417	0.016182	0.018111	0.015456	0.016158	0.017753	0.02028	0.018182	0.019883	0.019891	0.017728	0.018615	0.017442	0.016247	0.018234	0.015139	0.017502
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae	0.002582	0.00249	0.001273	2.6e-05	0.002419	0.000864	0.002527	0.002567	0.00266	0.002644	0.002501	0.002458	0.002563	0.002408	0.00245	0.002591	0.002734	0.00263	0.00251	0.002568	0.002503	0.002501	0.002499	0.002416	0.002578	0.002345	0.002433
